timestamp,open,high,low,close,volume
2024-12-27 12:00:00,96686.74,96686.74,96229.66,96407.99,791.8893
2024-12-27 16:00:00,94165.92,94354.82,93500.01,94291.3,2312.03777
2024-12-27 20:00:00,94588.12,94823.09,94379.35,94526.07,397.53728
2024-12-28 00:00:00,94398.75,94615.24,94135.66,94556.93,377.17171
2024-12-28 04:00:00,94524.0,94800.0,94523.99,94625.64,245.8186
2024-12-28 08:00:00,94488.01,94692.3,94488.01,94589.27,281.34727
2024-12-28 12:00:00,94599.56,94761.33,94496.73,94665.94,394.23476
2024-12-28 16:00:00,94874.89,95245.24,94810.51,95022.57,570.88991
2024-12-28 20:00:00,95083.05,95223.72,94968.86,95171.67,208.89259
2024-12-29 00:00:00,95148.49,95210.22,94808.0,94857.65,316.3733
2024-12-29 04:00:00,95126.39,95199.97,95071.21,95118.89,135.90901
2024-12-29 08:00:00,95123.33,95211.41,95048.3,95190.49,175.08412
2024-12-29 12:00:00,94907.88,95015.18,94800.0,94928.2,484.06443
2024-12-29 16:00:00,93900.01,94117.5,93800.37,93945.01,611.15623
2024-12-29 20:00:00,93858.55,93949.52,93121.0,93352.65,1034.06452
2024-12-30 00:00:00,93583.96,94274.29,93368.93,93948.42,1152.47209
2024-12-30 04:00:00,93280.27,93581.53,93240.03,93581.53,472.45526
2024-12-30 08:00:00,93851.1,94023.84,93686.68,93892.35,459.50171
2024-12-30 12:00:00,93750.68,93820.9,92613.0,92680.52,2283.46335
2024-12-30 16:00:00,92120.6,94200.0,91980.53,93832.83,2087.38638
2024-12-30 20:00:00,94338.8,94376.3,91901.57,92076.0,2274.79849
2024-12-31 00:00:00,92450.0,92575.76,92033.73,92435.57,1243.12207
2024-12-31 04:00:00,92448.0,92750.0,92357.71,92596.08,330.97028
2024-12-31 08:00:00,93933.38,94151.52,93831.24,94023.88,694.62156
2024-12-31 12:00:00,94539.86,96054.79,94524.43,95587.12,1803.50187
2024-12-31 16:00:00,94868.41,95047.71,93189.59,94120.94,1332.40373
2024-12-31 20:00:00,93564.01,93964.15,93504.67,93899.68,337.52715
2025-01-01 00:00:00,94401.13,94408.72,93578.77,93607.74,586.53456
2025-01-01 04:00:00,93553.91,93937.19,93547.4,93792.02,209.1794
